Numero|DataOcorrencia|Natureza|EstadoOcorrencia|Distrito|Concelho|Freguesia|Localidade|Latitude|Longitude|NumeroMeiosTerrestresEnvolvidos|NumeroOperacionaisTerrestresEnvolvidos|NumeroMeiosAereosEnvolvidos|NumeroOperacionaisAereosEnvolvidos
2020050015583|04/07/2020 11:17:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|CASTELO BRANCO|OLEIROS|Orvalho|ORVALHO|40,0226070128442|-7,79105810907859|1|2|0|0
2020070012581|04/07/2020 11:12:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|ÉVORA|PORTEL|Monte do Trigo|MONTE DO TRIGO|38,3983548496579|-7,71868953487173|1|2|0|0
2020110119313|04/07/2020 11:08:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer|Em Curso|LISBOA|OEIRAS|Oeiras e S. Julião da Barra, Paço de Arcos e Caxias|União das Freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias|38,6998584875968|-9,29836959225127|1|3|0|0
2020110119314|04/07/2020 11:06:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|LISBOA|LOURES|Santo Antão e São Julião do Tojal|Junqueira|38,8596864623139|-9,1250337287706|1|2|0|0
2020140032137|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Vigilância|SANTARÉM|ALPIARÇA|Alpiarça|ALPIARÇA|39,262022|-8,595402|0|0|0|0
2020120012190|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|GAVIÃO|Gavião e Atalaia|GAVIÃO|39,465431|-7,930911|1|3|0|0
2020120012189|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|GAVIÃO|Belver|Belver|39,4925|-7,961057|1|3|0|0
2020120012188|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|AVIS|Avis|Avis|39,071488|-7,903024|1|4|0|0
2020140032135|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Vigilância|SANTARÉM|CHAMUSCA|Chamusca e Pinheiro Grande|CHAMUSCA|39,362372|-8,490477|0|0|0|0
2020140032139|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Vigilância|SANTARÉM|ALMEIRIM|Almeirim|ALMEIRIM|39,142251|-8,588832|0|0|0|0
2020140032142|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Vigilância|SANTARÉM|ABRANTES|São Miguel do Rio Torto e Rossio ao Sul do Tejo|ROSSIO AO SUL DO TEJO|39,443074|-8,1877|0|0|0|0
2020120012191|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|PORTALEGRE|Alegrete|ALEGRETE|39,239478|-7,331573|1|4|0|0
2020140032143|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Vigilância|SANTARÉM|CONSTÂNCIA|Constância|CONSTÂNCIA|39,476237|-8,334164|0|0|0|0
2020140032145|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Vigilância|SANTARÉM|MAÇÃO|Amêndoa|AMÊNDOA|39,65743|-8,064357|0|0|0|0
2020140032144|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Vigilância|SANTARÉM|MAÇÃO|Mação, Penhascoso e Aboboreira|MAÇÃO|39,551093|-7,998144|0|0|0|0
2020040015375|04/07/2020 11:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|MIRANDELA|Abreiro|ABREIRO|41,350079|-7,290741|1|3|0|0
2020090019598|04/07/2020 10:49:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|GUARDA|GUARDA|Guarda|GUARDA|40,5367511319061|-7,26086864781709|0|0|0|0
2020090019597|04/07/2020 10:39:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades públicas|Chegada ao TO|GUARDA|SABUGAL|Bendada|BENDADA|40,3718821223056|-7,25122106435881|0|0|0|0
2020040015362|04/07/2020 10:30:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|MOGADOURO|Castelo Branco|CASTELO BRANCO|41,278468|-6,770085|1|6|0|0
2020110119297|04/07/2020 10:23:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades privadas|Chegada ao TO|LISBOA|LOURINHÃ|Ribamar|Porto Dinheiro|39,2107960949765|-9,33488154273306|0|0|0|0
